"X7_CAMPO","X7_SEQUENC","X7_REGRA","X7_CDOMIN","X7_TIPO","X7_SEEK","X7_ALIAS","X7_ORDEM","X7_CHAVE","X7_CONDIC","X7_PROPRI"
"ED_CALCIRF","001","""N""","ED_IRRFCAR","P","N","","0","Type(""M->ED_IRRFCAR"") == ""C""","","S"
"ED_INSSCAR","001","""N""","ED_INSSCAR","P","N","","0","Type(""M->ED_INSSCAR"") == ""C""","","S"
"ED_IRRFCAR","001","0","ED_BASEIRC","P","N","","0","","M->ED_IRRFCAR == ""N""","S"
"EE1_PAIS","001","M->EE1_DESCR:=SYA->YA_DESCR","EE1_DESCR","P","S","SYA","1","xFilial(""SYA"")+M->EE1_PAIS","","S"
"EE5_CCOM","001","IF(M->EE5_CCOM # 0,ALLTRIM(STR(M->EE5_CCOM,10,2)),"""")+"" X ""","EE5_DIMENS","P","","","0","","","S"
"EE5_CCOM","002","ALLTRIM(M->EE5_DIMENS)+IF(M->EE5_LLARG # 0,"" ""+ALLTRIM(STR(M->EE5_LLARG,10,2)),"""")+"" X ""","EE5_DIMENS","P","","","0","","","S"
"EE5_CCOM","003","ALLTRIM(M->EE5_DIMENS)+IF(M->EE5_HALT  # 0,"" ""+ALLTRIM(STR(M->EE5_HALT ,10,2)),"""")","EE5_DIMENS","P","","","0","","","S"
"EE5_HALT","001","IF(M->EE5_CCOM # 0,ALLTRIM(STR(M->EE5_CCOM,10,2)),"""")+"" X ""","EE5_DIMENS","P","","","0","","","S"
"EE5_HALT","002","ALLTRIM(M->EE5_DIMENS)+IF(M->EE5_LLARG # 0,"" ""+ALLTRIM(STR(M->EE5_LLARG,10,2)),"""")+"" X ""","EE5_DIMENS","P","","","0","","","S"
"EE5_HALT","003","ALLTRIM(M->EE5_DIMENS)+IF(M->EE5_HALT # 0,"" ""+ALLTRIM(STR(M->EE5_HALT,10,2)),"""")","EE5_DIMENS","P","","","0","","","S"
"EE5_LLARG","001","IF(M->EE5_CCOM # 0,ALLTRIM(STR(M->EE5_CCOM,10,2))+"" X "","""")","EE5_DIMENS","P","","","0","","","S"
"EE5_LLARG","002","ALLTRIM(M->EE5_DIMENS)+IF(M->EE5_LLARG # 0,"" ""+ALLTRIM(STR(M->EE5_LLARG,10,2))+"" X"","""")","EE5_DIMENS","P","","","0","","","S"
"EE5_LLARG","003","ALLTRIM(M->EE5_DIMENS)+IF(M->EE5_HALT  # 0,"" ""+ALLTRIM(STR(M->EE5_HALT ,10,2)),"""")","EE5_DIMENS","P","","","0","","","S"
"EE6_AGENT1","001","SY5->Y5_NOME","EE6_DSCAG1","P","S","SY5","1","XFILIAL(""SY5"")+M->EE6_AGENT1","!EMPTY(M->EE6_AGENT1)","S"
"EE6_AGENT2","001","SY5->Y5_NOME","EE6_DSCAG2","P","S","SY5","1","XFILIAL(""SY5"")+M->EE6_AGENT2","!EMPTY(M->EE6_AGENT2)","S"
"EE6_AGENT3","001","SY5->Y5_NOME","EE6_DSCAG3","P","S","SY5","1","XFILIAL(""SY5"")+M->EE6_AGENT3","!EMPTY(M->EE6_AGENT3)","S"
